Name,Set,Rarity,RarityWeight,MarketPrice,CurrentPrice,ListingCount,ProductURL,ImageURL
"SV03: Obsidian FlamesSpecial Illustration Rare, #223/197Charizard ex - 223/19774 listings from $74.99Market Price:$126.93","Obsidian Flames","",null,"126.93","74.99","19774","https://www.tcgplayer.com/product/509980/pokemon-sv03-obsidian-flames-charizard-ex-223-197?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV06: Twilight MasqueradeTwilight Masquerade Elite Trainer Box129 listings from $69.99Market Price:$69.87","Twilight Masquerade","",null,"69.87","69.99","129","https://www.tcgplayer.com/product/543845/pokemon-sv06-twilight-masquerade-twilight-masquerade-elite-trainer-box?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian FlamesHyper Rare, #228/197Charizard ex - 228/197106 listings from $19.00Market Price:$25.93","Obsidian Flames","",null,"25.93","19","197106","https://www.tcgplayer.com/product/509989/pokemon-sv03-obsidian-flames-charizard-ex-228-197?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian FlamesIllustration Rare, #199/197Ninetales -199/197123 listings from $12.02Market Price:$25.45","Obsidian Flames","",null,"25.45","12.02","197123","https://www.tcgplayer.com/product/509945/pokemon-sv03-obsidian-flames-ninetales-199-197?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian FlamesIllustration Rare, #202/197Cleffa - 202/197135 listings from $13.88Market Price:$17.31","Obsidian Flames","",null,"17.31","13.88","197135","https://www.tcgplayer.com/product/509949/pokemon-sv03-obsidian-flames-cleffa-202-197?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV: Shrouded FableDouble Rare, #038/064Fezandipiti ex - 038/064176 listings from $15.75Market Price:$17.19","Shrouded Fable","",null,"17.19","15.75","64176","https://www.tcgplayer.com/product/560348/pokemon-sv-shrouded-fable-fezandipiti-ex-038-064?page=1","https://tcgplayer-cdn.tcgplayer.com/product/560348_in_200x200.jpg"
"SV06: Twilight MasqueradeACE SPEC Rare, #163/167Secret Box153 listings from $15.00Market Price:$16.31","Twilight Masquerade","",null,"16.31","15","153","https://www.tcgplayer.com/product/550207/pokemon-sv06-twilight-masquerade-secret-box?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV: Scarlet & Violet Promo CardsPromo, #208Victini - 20879 listings from $15.00Market Price:$15.88","All Pokemon Products","",null,"15.88","15","20879","https://www.tcgplayer.com/product/646169/pokemon-sv-scarlet-and-violet-promo-cards-victini-208?page=1","https://tcgplayer-cdn.tcgplayer.com/product/646169_in_200x200.jpg"
"SV: Paldean FatesPaldean Fates Booster Pack38 listings from $15.72Market Price:$15.84","SV: Paldean Fates","",null,"15.84","15.72","38","https://www.tcgplayer.com/product/528038/pokemon-sv-paldean-fates-paldean-fates-booster-pack?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian FlamesSpecial Illustration Rare, #225/197Pidgeot ex - 225/197177 listings from $10.22Market Price:$13.62","Obsidian Flames","",null,"13.62","10.22","197177","https://www.tcgplayer.com/product/509983/pokemon-sv03-obsidian-flames-pidgeot-ex-225-197?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV04: Paradox RiftDouble Rare, #139/182Gholdengo ex - 139/18273 listings from $12.51Market Price:$12.82","Paradox Rift","",null,"12.82","12.51","18273","https://www.tcgplayer.com/product/523818/pokemon-sv04-paradox-rift-gholdengo-ex-139-182?page=1","https://tcgplayer-cdn.tcgplayer.com/product/523818_in_200x200.jpg"
"SV: Scarlet & Violet 151151 Booster Pack53 listings from $3.57Market Price:$12.82","All Pokemon Products","",null,"12.82","3.57","53","https://www.tcgplayer.com/product/504467/pokemon-sv-scarlet-and-violet-151-151-booster-pack?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV05: Temporal ForcesACE SPEC Rare, #162/162Neo Upper Energy69 listings from $12.00Market Price:$12.66","Temporal Forces","",null,"12.66","12","69","https://www.tcgplayer.com/product/542682/pokemon-sv05-temporal-forces-neo-upper-energy?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian FlamesIllustration Rare, #198/197Gloom - 198/197142 listings from $7.85Market Price:$11.52","Obsidian Flames","",null,"11.52","7.85","197142","https://www.tcgplayer.com/product/509944/pokemon-sv03-obsidian-flames-gloom-198-197?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian FlamesIllustration Rare, #205/197Scizor - 205/197251 listings from $4.99Market Price:$10.13","Obsidian Flames","",null,"10.13","4.99","197251","https://www.tcgplayer.com/product/509952/pokemon-sv03-obsidian-flames-scizor-205-197?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV: Prismatic EvolutionsPrismatic Evolutions Booster Pack125 listings from $6.99Market Price:$9.51","All Pokemon Products","",null,"9.51","6.99","125","https://www.tcgplayer.com/product/593294/pokemon-sv-prismatic-evolutions-prismatic-evolutions-booster-pack?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV06: Twilight MasqueradeTwilight Masquerade Booster Pack43 listings from $1.76Market Price:$6.97","Twilight Masquerade","",null,"6.97","1.76","43","https://www.tcgplayer.com/product/543843/pokemon-sv06-twilight-masquerade-twilight-masquerade-booster-pack?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"CelebrationsHolo Rare, #005/025Pikachu313 listings from $3.15Market Price:$6.75","All Pokemon Products","",null,"6.75","3.15","313","https://www.tcgplayer.com/product/250303/pokemon-celebrations-pikachu?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian FlamesObsidian Flames Booster Pack57 listings from $2.29Market Price:$6.75","Obsidian Flames","",null,"6.75","2.29","57","https://www.tcgplayer.com/product/501256/pokemon-sv03-obsidian-flames-obsidian-flames-booster-pack?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV07: Stellar CrownStellar Crown Booster Pack60 listings from $2.19Market Price:$6.48","Stellar Crown","",null,"6.48","2.19","60","https://www.tcgplayer.com/product/557331/pokemon-sv07-stellar-crown-stellar-crown-booster-pack?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV05: Temporal ForcesTemporal Forces Booster Pack67 listings from $2.48Market Price:$6.21","Temporal Forces","",null,"6.21","2.48","67","https://www.tcgplayer.com/product/532841/pokemon-sv05-temporal-forces-temporal-forces-booster-pack?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian FlamesIllustration Rare, #208/197Pidgeotto - 208/197230 listings from $4.75Market Price:$5.96","Obsidian Flames","",null,"5.96","4.75","197230","https://www.tcgplayer.com/product/509956/pokemon-sv03-obsidian-flames-pidgeotto-208-197?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV04: Paradox RiftParadox Rift Booster Pack64 listings from $5.75Market Price:$5.84","Paradox Rift","",null,"5.84","5.75","64","https://www.tcgplayer.com/product/512822/pokemon-sv04-paradox-rift-paradox-rift-booster-pack?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian FlamesDouble Rare, #125/197Charizard ex - 125/197153 listings from $2.89Market Price:$4.62","Obsidian Flames","",null,"4.62","2.89","197153","https://www.tcgplayer.com/product/509879/pokemon-sv03-obsidian-flames-charizard-ex-125-197?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV07: Stellar CrownIllustration Rare, #147/142Raboot - 147/142349 listings from $3.99Market Price:$4.17","Stellar Crown","",null,"4.17","3.99","142349","https://www.tcgplayer.com/product/567427/pokemon-sv07-stellar-crown-raboot-147-142?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV05: Temporal ForcesACE SPEC Rare, #152/162Hero's Cape411 listings from $3.00Market Price:$3.96","Temporal Forces","",null,"3.96","3","411","https://www.tcgplayer.com/product/542667/pokemon-sv05-temporal-forces-heros-cape?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian FlamesHyper Rare, #230/197Basic Fire Energy - 230/197160 listings from $4.27Market Price:$3.72","Obsidian Flames","",null,"3.72","4.27","197160","https://www.tcgplayer.com/product/509992/pokemon-sv03-obsidian-flames-basic-fire-energy-230-197?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian FlamesUncommon, #186/197Arven396 listings from $3.69Market Price:$3.62","Obsidian Flames","",null,"3.62","3.69","396","https://www.tcgplayer.com/product/509778/pokemon-sv03-obsidian-flames-arven?page=1","https://tcgplayer-cdn.tcgplayer.com/product/509778_in_200x200.jpg"
"CelebrationsHolo Rare, #011/025Mew218 listings from $1.74Market Price:$3.49","All Pokemon Products","",null,"3.49","1.74","218","https://www.tcgplayer.com/product/250309/pokemon-celebrations-mew?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
